,Date,Year,Month,Startup,IndustryVertical,SubVertical,City,InvestorName,InvestmentType,NewAmount
0,2015-01-08,2015.0,1.0,Snapdeal,Ecommerce Marketplace,New Delhi,"Alibaba, Foxconn, Softbank",Private Equity,Undisclosed Investors,500000000.0
1,2015-01-08,2015.0,1.0,Ressy,Restaurant Discount app,Pune,Mohandas Pai & others,Seed Funding,Undisclosed Investors,0.0
3,2015-03-08,2015.0,3.0,Connect India,ECommerce Logistics provider,New Delhi,Aavishkaar,Private Equity,Undisclosed Investors,5000000.0
6,2015-03-08,2015.0,3.0,Oyorooms,Budget Hotel accommodation brand,New Delhi,"SoftBank Group, Greenoaks Capital, Sequoia Capital,  Lightspeed India",Private Equity,Undisclosed Investors,100000000.0
8,2015-03-08,2015.0,3.0,Wizrocket,User Engagment & Analytics platform,Mumbai,"Sequoia Capital, Accel Partners",Private Equity,Undisclosed Investors,9600000.0
9,2015-04-08,2015.0,4.0,Pickingo,On-Demand Delivery Logistics,New Delhi,"Orios Venture Partners, Zishaan Hayath",Private Equity,Undisclosed Investors,1300000.0
10,2015-05-08,2015.0,5.0,Grex,fund raising platform for startups,Pune,"Kunal Bajaj, Chandru Badrinarayanan",Seed Funding,Undisclosed Investors,0.0
11,2015-05-08,2015.0,5.0,LetsTransport,Logistics Tech Platform,Bangalore,"Rebright Partners, Ankush Nijhawan, Gaurav Bhatnagar, Manish Dhingra",Seed Funding,Undisclosed Investors,0.0
12,2015-05-08,2015.0,5.0,Zo Rooms,Online budget hotel chain,New Delhi,"Tiger Global Management, Orios Venture Partners",Private Equity,Undisclosed Investors,30000000.0
13,2015-05-08,2015.0,5.0,Doormint,Hyperlocal Handyman services,Mumbai,"Helion Venture Partners, Kalaari Capital",Private Equity,Undisclosed Investors,3000000.0
14,2015-05-08,2015.0,5.0,NightStay,hotel booking app,Noida,"BedRock Ventures, Rajesh Sawhney, Shailesh Singh",Seed Funding,Undisclosed Investors,0.0
16,2015-05-08,2015.0,5.0,Sunday Realty Solutions,Tech Platform for property brokers,Mumbai,"Ramesh Jogani, Shailesh Viswanathan, Jay Srinivasan",Seed Funding,Undisclosed Investors,0.0
18,2015-06-08,2015.0,6.0,Appvigil,App security  testing platform,Mumbai,"Ravi Gururaj, Gaurav Sharma, Viswanath Ramachandran, RippleWave",Seed Funding,Undisclosed Investors,500000.0
19,2015-06-08,2015.0,6.0,practo,Doctor Appointment booking app,Bangalore,"Sofina, Google Capital, Altimeter Capital, Sequoia Capital Global Equities, Yuri Milner, Sequoia Capital, Matrix Partners",Private Equity,Undisclosed Investors,90000000.0
22,2015-06-08,2015.0,6.0,Ketto,Crowd funding platform,Mumbai,"Chennai Angels, Calcutta Angels, ah! Ventures, Intellecap Impact Investment Network, Indus Age Partners, Singapore Angel Network, India Internet Fund, LetsVenture",Seed Funding,Undisclosed Investors,0.0
23,2015-06-08,2015.0,6.0,Ezetap,Mobile based PoS solution,Bangalore,"Horizons Ventures, Capricorn Investment Group, Social+Capital, Helion Advisors, Berggruen Holdings",Private Equity,Undisclosed Investors,25000000.0
25,2015-07-08,2015.0,7.0,Carl’s Jr,Fast food Chain Franchisee,Gurgaon,YouWeCan Ventures,Seed Funding,Undisclosed Investors,0.0
26,2015-07-08,2015.0,7.0,EasyRewardz,Loyalty Programs & Reward Points,Mumbai,"Wealth First, Ashneer Grover, Atul Phadnis",Private Equity,Undisclosed Investors,500000.0
30,2015-10-08,2015.0,10.0,MyTaxiIndia,Taxi Rental platform,Gurgaon,"Nihon Kotsu,",Private Equity,Undisclosed Investors,500000.0
31,2015-10-08,2015.0,10.0,eSadar,ecommerce,New Delhi,"Neha Vats, Gaurav Vats",Seed Funding,Undisclosed Investors,0.0
33,2015-10-08,2015.0,10.0,MyPoolin,mobile social network,New Delhi,QPrize from Qualcomm Ventures,Seed Funding,Undisclosed Investors,250000.0
34,2015-10-08,2015.0,10.0,NearBuy (previously  groupon India),Hyper-Local Ecommerce,New Delhi,Sequoia Capital,Private Equity,Undisclosed Investors,16000000.0
35,2015-10-08,2015.0,10.0,Inkmonk,Online printing marketplace,Chennai,"Girish Mathrubootham, Phanindra Sama, Vikram Chachra, Others from LetsVenture",Seed Funding,Undisclosed Investors,0.0
36,2015-10-08,2015.0,10.0,ToneTag,mobile payment software platform,Bangalore,Reliance Capital Venture,Private Equity,Undisclosed Investors,1000000.0
37,2015-10-08,2015.0,10.0,Grey Orange,Automated Storage & Warehousing Solution,Gurgaon,Tiger Global Management,Private Equity,Undisclosed Investors,30000000.0
38,2015-11-08,2015.0,11.0,Livspace,Home Design & Décor solutions,Bangalore,"Helion Ventures, Jungle Ventures & Bessemer Venture Partners",Private Equity,Undisclosed Investors,8000000.0
39,2015-11-08,2015.0,11.0,WOW! MOMO,Quick Service Restaurant Chain,Kolkata,Indian Angel Network,Seed Funding,Undisclosed Investors,0.0
40,2015-11-08,2015.0,11.0,RainCan,Subscription based Online Grocery platform,Pune,Ajeet Khurana & Others,Seed Funding,Undisclosed Investors,0.0
41,2015-11-08,2015.0,11.0,Allygrow Technologies,engineering services company,Mumbai,Zodius Technology Fund,Private Equity,Undisclosed Investors,20000000.0
42,2015-11-08,2015.0,11.0,Infogain,Business and IT consulting,New Delhi / US,ChrysCapital,Private Equity,Undisclosed Investors,0.0
43,2015-12-08,2015.0,12.0,OneAssist,Credit Card Fraud protection solutions,Mumbai,"Sequoia Capital, Lightspeed Ventures",Private Equity,Undisclosed Investors,7500000.0
44,2015-12-08,2015.0,12.0,BigBasket,Online & mobile Grocery store,Bangalore,Bessemer Venture Partners,Private Equity,Undisclosed Investors,50000000.0
45,2015-12-08,2015.0,12.0,Sheroes,Career Community for Women,Noida,"Quintillion Media, 500 Startups",Seed Funding,Undisclosed Investors,0.0
46,2015-12-08,2015.0,12.0,Scripbox,Mutual Fund Investing platform,Bangalore,"Accel Partners, Deep Kalra, Rajesh Magow, Mohit Gupta, Shamik Sharma",Private Equity,Undisclosed Investors,2500000.0
47,2015-08-13,2015.0,8.0,betaout,Ecommerce Marketing Software Platform,Noida,"Amit Ranjan, Vijay Shekhar Sharma, Kunal Bahl, Girish Mathrubootham &  Group of other Angel investors",Seed Funding,Undisclosed Investors,0.0
48,2015-08-13,2015.0,8.0,IFMR Holdings,Financial Inclusion platform,Chennai,"Accion, LeapFrog Investments, Lok Capital",Private Equity,Undisclosed Investors,25000000.0
50,2015-08-13,2015.0,8.0,Agrostar,Mobile Commerce for Farmers,Pune,IDG Ventures,Private Equity,Undisclosed Investors,4000000.0
51,2015-08-14,2015.0,8.0,VoxWeb,Picture based Social App,Mumbai,Jitendra Gupta & others,Seed Funding,Undisclosed Investors,0.0
52,2015-08-14,2015.0,8.0,Trukky,Logistics service platform,Ahmedabad,"Gujarat based angel investors, MMY co-Founder",Seed Funding,Undisclosed Investors,0.0
54,2015-08-17,2015.0,8.0,Edu4Share,Exam Preparation Platform,New Delhi,Nalin Jain & other angel investors,Seed Funding,Undisclosed Investors,0.0
56,2015-08-17,2015.0,8.0,Sampurnearth,Waste Management Solutions,Mumbai,"Intellecap Impact Investment Network, family office fund",Seed Funding,Undisclosed Investors,0.0
60,2015-08-17,2015.0,8.0,ShadowFax,on-demand delivery service,Gurgaon,"Kunal Bahl, Rohit Bansal, Zishaan Hayath, Prashant Malik",Seed Funding,Undisclosed Investors,0.0
62,2015-08-18,2015.0,8.0,Roposo,Fashion Discovery platform,Gurgaon,Tiger Global,Private Equity,Undisclosed Investors,15000000.0
63,2015-08-18,2015.0,8.0,IntelligenceNODE,Data Analytics Platform,Mumbai,"New Enterprise Associates, Orios Venture Partners",Private Equity,Undisclosed Investors,4200000.0
64,2015-08-18,2015.0,8.0,HyperVerge,Deep Learning Cloud Algorithms,Chennai,"NEA, Milliways Ventures, Naya Ventures",Seed Funding,Undisclosed Investors,0.0
67,2015-08-18,2015.0,8.0,Zoojoo.be,Corporate Wellness App,Bangalore,RoundGlass Partners,Private Equity,Undisclosed Investors,1000000.0
69,2015-08-19,2015.0,8.0,TimeSaverz,"Hyperlocal Maintenance, Repair & Cleaning services",Mumbai,Unilazer Ventures,Private Equity,Undisclosed Investors,0.0
71,2015-08-19,2015.0,8.0,MebelKart,Online Furniture Marketplace,Bangalore,AskMe,Private Equity,Undisclosed Investors,0.0
72,2015-08-20,2015.0,8.0,LabsAdvisor,Online Diagnostic Tests Marketplace,New Delhi,Group of Angel Investors,Seed Funding,Undisclosed Investors,0.0
73,2015-08-20,2015.0,8.0,Flatpebble,Online marketplace for Photographers,Hyderabad,Indian Angel Network,Seed Funding,Undisclosed Investors,0.0
74,2015-08-20,2015.0,8.0,Bluegape.com,Visual Blogging platform,New Delhi,"ah! Ventures, Times Internet, Rudy Gopalakrishnan",Seed Funding,Undisclosed Investors,0.0
75,2015-08-21,2015.0,8.0,ePoise,Job Search Platform,Bangalore,"Orios Venture Partners, Amit Ranjan & others",Seed Funding,Undisclosed Investors,0.0
76,2015-08-24,2015.0,8.0,Jolly Food Fellow,Food Customer analytics platform,Ahmedabad,The 1947,Seed Funding,Undisclosed Investors,0.0
77,2015-08-24,2015.0,8.0,BookMeIn,Professional Service Appointment booking service,Mumbai,Ajmera Group of Companies,Seed Funding,Undisclosed Investors,0.0
80,2015-08-25,2015.0,8.0,Qyk App,On-Demand App based Professional service provider,Bangalore,"GrowX ventures, Tracxn Labs, Powai Lake Ventures, and Sahil Barua",Private Equity,Undisclosed Investors,1000000.0
81,2015-08-25,2015.0,8.0,EazyDiner,Restaurant Reservation Platform,Gurgaon,"DSG Consumer Partners, Saama Capital",Private Equity,Undisclosed Investors,3000000.0
82,2015-08-25,2015.0,8.0,RevX,Cross-channel CRM platform,Mumbai,"Norwest Venture Partners, Nexus Venture Partners, Helion Venture Partners, Draper Fisher Jurvetson, Peepul Capital",Private Equity,Undisclosed Investors,4000000.0
83,2015-08-25,2015.0,8.0,ICustomMadeIt,Professional Custom creators Marketplace,Pune,Group of Angel Investors,Seed Funding,Undisclosed Investors,0.0
84,2015-08-26,2015.0,8.0,PickMyLaundry,on-Demand Washing & Dry-Cleaning,New Delhi,GHV Accelerator,Seed Funding,Undisclosed Investors,0.0
85,2015-08-26,2015.0,8.0,Belita,On-Demand Beauty Service,Mumbai,"India Quotient, LetsVenture investors, Lead Angels",Seed Funding,Undisclosed Investors,0.0
87,2015-08-26,2015.0,8.0,FoodTalkIndia,Online Food Community Platform,Gurgaon,Undisclosed Investor,Seed Funding,Undisclosed Investors,0.0
92,2015-08-28,2015.0,8.0,Vyomo,Beauty & Lifestyle Mobile Marketplace,Bangalore,Rocket Internet,Private Equity,Undisclosed Investors,2000000.0
93,2015-08-28,2015.0,8.0,RollMafia,QSR Restaurant Chain,Pune,Equentia Natural Resources,Seed Funding,Undisclosed Investors,0.0
95,2015-08-31,2015.0,8.0,DropKaffe,Online Coffee Delivery platform,Bangalore,"Manish Singhal, P39 Capital & Others",Seed Funding,Undisclosed Investors,0.0
96,2015-08-31,2015.0,8.0,Reverie,Language Localization Cloud platform,Bangalore,"Aspada Investment Advisors, Qualcomm Ventures",Private Equity,Undisclosed Investors,4000000.0
100,2017-02-11,2017.0,2.0,Prest Loans,Finance,Business & SME Loans provider,Delhi,"Manish Poddar, Arun Garg, Parmeshwar Sharma",Seed Funding,570000.0
101,2017-02-11,2017.0,2.0,AadharAPI.com,Technology,Aadhaar-based API provider,Pune,CIO Angel Network,Seed Funding,0.0
102,2017-02-11,2017.0,2.0,FreshBoxx,ECommerce,Online Grocery Store,Bengaluru,Jayant Humbarwadi,Seed Funding,0.0
103,2017-03-11,2017.0,3.0,Vagupu,Technology,Online Tutorial Marketplace,Bengaluru,Undisclosed Investors,Seed Funding,1000000.0
104,2017-03-11,2017.0,3.0,HalaPlay,Consumer Internet,Online Fantasy Games,Mumbai,"Kae Capital Management, Nazara Technologies",Seed Funding,0.0
105,2017-03-11,2017.0,3.0,Kalpnik Technologies,Technology,VR based Spiritual platform,Bengaluru,Venture Catalysts,Seed Funding,500000.0
106,2017-04-11,2017.0,4.0,Hevo Data,Technology,Real time data analytics & reporting,Bengaluru,IDG Ventures India,Private Equity,1000000.0
107,2017-06-11,2017.0,6.0,Smart Karma,Technology,Financial Technology Research Platform,Bengaluru,IDG Ventures India,Private Equity,0.0
108,2017-06-11,2017.0,6.0,Leverage Edu,ECommerce,Online platform for Higher Education Services,Delhi,"Alok Mittal, Deepak Jain, Ritesh Malik, Jim Schimdktke",Seed Funding,0.0
109,2017-07-11,2017.0,7.0,Crayon Data,Technology,Customer Engagement Platform,Delhi,Infosys co-founder Kris Gopalakrishnan,Seed Funding,0.0
110,2017-07-11,2017.0,7.0,DocTalk,Technology,Doctor Patient Communication platform,Mumbai,"Matrix Partners India, Khosla Ventures",Private Equity,5000000.0
111,2017-07-11,2017.0,7.0,CoveIoT,Technology,Wearable tech and Internet of Things platform,Bengaluru,"Titan Co Ltd, Tata Group’s watch and jewellery retailing firm",Private Equity,5000000.0
112,2017-08-11,2017.0,8.0,TalentEdge,Technology,Distance Education Learning Platform,Bengaluru,Lumis Partners,Private Equity,7600000.0
113,2017-08-11,2017.0,8.0,Fisdom,Finance,Mutual Fund Investment App,Bengaluru,Quona Capital Management,Private Equity,3000000.0
114,2017-08-11,2017.0,8.0,FarmLink,eCommerce,Online platform for Agricultural products,Mumbai,"Pioneering Ventures, Syngenta AG",Private Equity,3000000.0
115,2017-08-11,2017.0,8.0,OpenApp,Technology,IoT based Tech Startup,Bengaluru,"Axilor Ventures, Kumar Vembu",Private Equity,3600000.0
116,2017-09-11,2017.0,9.0,NoPaperForms,Technology,Enrolment Management Platform,Delhi,Info Edge,Seed Funding,872000.0
117,2017-09-11,2017.0,9.0,Tilite Technologies Pvt. Ltd,Technology,Saas based Corporate Travel Management Solution,Bengaluru,Matrix Partners,Seed Funding,0.0
118,2017-09-11,2017.0,9.0,Mobiliz AR,Technology,Augmented Reality based Tech platform,Bengaluru,"IDG Ventures, IDFC-Parampara Fund",Private Equity,0.0
119,2017-10-11,2017.0,10.0,Qubole,Technology,Big Data based analytics platform,Bengaluru,"Singtel, Innov8, Harmony Partners",Private Equity,25000000.0
120,2017-10-11,2017.0,10.0,Happily Unmarried,ECommerce,Online Gifting platform,Nw Delhi,Wipro Consumer Care,Private Equity,0.0
121,2017-11-13,2017.0,11.0,Universal Sportsbiz Pvt. Ltd,ECommerce,Celebrity fashion accessories and merchandise,Mumbai,Accel Partners,PrivateEquity,15000000.0
122,2017-11-14,2017.0,11.0,Hungry Foal,Ecommerce,Healthy & Nutrition based snacks online platform,Gurugram,GAIL India Ltd,Seed Funding,0.0
123,2017-11-14,2017.0,11.0,Active AI,Technology,AI based FinTech platform,Bengaluru,Vertex Ventures,Private Equity,8250000.0
124,2017-11-15,2017.0,11.0,Sumeru,Technology,Banking Software License Platform,Bengaluru,Undisclosed Investors,Seed Funding,900000.0
125,2017-11-15,2017.0,11.0,ElderAid Wellness,Health Care,Social Healthcare Enterprise,Bengaluru,Rugmini Menon,Angel Funding,0.0
126,2017-11-15,2017.0,11.0,Omnia Information,Technology,WiFi Analytics Platform,Delhi,Omidyar Network,Private Equity,3000000.0
127,2017-11-15,2017.0,11.0,Josh Talks,Inspiration,Storytelling platform,Gurugram,"Girish Mathrubootham, Apurva Chamaria, Rohit Chanana",Private Equity,0.0
128,2017-11-15,2017.0,11.0,Reniso,Technology,End-to-End property management for landlords living away,Delhi,"Nishit Sharma, Alok Srivastava",Seed Funding,0.0
129,2017-11-17,2017.0,11.0,Kanhaiya,Inspiration,Storytelling platform,Hyderabad,Undisclosed Investors,Seed/Angel Funding,200000.0
130,2017-11-17,2017.0,11.0,Perspectico,Technology,Placement preparation and career growth training platform,Delhi,"SSCBS Innovation, Incubation Foundation (SIIF)",Seed/Angel Funding,0.0
131,2017-11-20,2017.0,11.0,ONN Bikes,Technology,Self riding bike rental program,Mumbai,Z Nation Lab,Seed/Angel Funding,692000.0
132,2017-11-21,2017.0,11.0,Rapido,Technology,Bike and Taxi pooling online platform,Hyderabad,"Skycatcher Fund, Aravind Sanka",Seed/Angel Funding,329230.0
133,2017-11-21,2017.0,11.0,Heckyl,Technology,Big Data Analytics Platform,Mumbai,"Notion Capital, IDG Ventures",Private Equity,2700000.0
134,2017-11-21,2017.0,11.0,Nuvepro,Technology,Managed Cloud Environment Solutions,Mumbai,1Crowd,Seed/Angel Funding,400000.0
135,2017-11-21,2017.0,11.0,RedBook,Technology,AI based pharmacy drugs insights platform,Mumbai,"Vida Ventures, Dr. Aniruddha Malpani",Seed/Angel Funding,250000.0
136,2017-11-21,2017.0,11.0,Portea,Healthcare,Healthcare facilities at doorstep,Bengaluru,"Sabre Partners, MEMG CDC",Private Equity,26000000.0
137,2017-11-21,2017.0,11.0,Credit Mate,Technology,Vehicle loan approval platform,Mumbai,Paytm,Private Equity,0.0
138,2017-11-21,2017.0,11.0,Epiq Capital,Finance,Tech based investor firm,Mumbai,Global Institutional Investors,Private Equity,200000000.0
139,2017-11-22,2017.0,11.0,MiStay,Technology,Online Hotel Reservation Platform,Bengaluru,Axilor Ventures,Seed/Angel Funding,0.0
140,2017-11-23,2017.0,11.0,WittyFeed,Storytelling,Viral Content and storytelling platform,Indore,Sandeep Aggarwal,Seed/Angel Funding,0.0
141,2017-11-24,2017.0,11.0,IDG Ventures,Finance,Venture Capitalist,Bengaluru,Uniliver Ventures,Private Equity,10000000.0
142,2017-11-24,2017.0,11.0,TempGo,Technology,IoT and SaaS based transportation platform,Goa,Javelin StartupO Victory Fund,Seed/Angel Funding,250000.0
143,2017-11-27,2017.0,11.0,Edelweiss,Finance,Diversified Financial,Mumbai,Undisclosed investors,Private Equity,270000000.0
144,2017-11-27,2017.0,11.0,ERA,Technology,Identity management platform,Mumbai,Amit Patni,Seed/Angel Funding,39000.0
145,2017-11-27,2017.0,11.0,Smaaash,Technology,Virtual Reality based gaming platform,Mumbai,Sixth Sense Ventures,Private Equity,3800000.0
146,2017-11-28,2017.0,11.0,Chumbak,Lifestyle,Designer-led consumer products,Bengaluru,Gaja Capital,Private Equity,13000000.0
147,2017-11-28,2017.0,11.0,FR8,Technology,Online Truck aggregator platform,Chennai,IFMR Capital,Debt Funding,1500000.0
148,2017-11-28,2017.0,11.0,MobieFit,Healthcare,Health and fitness based mobile App,Goa,"NB Ventures, MediAssist",Seed/Angel Funding,1350000.0
149,2017-11-28,2017.0,11.0,Stanza Living,Technology,Student accommodation platform,Delhi,"Matrix PArtners, Accel",Private Equity,2000000.0
150,2021-01-04,2021.0,1.0,BYJU’S,Edu-tech,Online tutoring,Bengaluru,Innoven Capital,Series F,460000000.0
151,2021-05-04,2021.0,5.0,Meesho,E-commerce,Online reselling platform,Bengaluru,SoftBank Vision Fund 2,Series E,300000000.0
152,2021-04-14,2021.0,4.0,Swiggy,Online Food Delivery,Online Food Delivery,Bengaluru,"Amansa Holdings, Carmignac, Falcon Edge Capital, Goldman Sachs, Think Investments",Series J,343000000.0
153,2021-07-04,2021.0,7.0,Groww,FinTech,Investment platform,Bengaluru,"MC Global Edtech, B Capital, Baron, others",Series D,83000000.0
154,2021-04-14,2021.0,4.0,Beldara,E-commerce,Global B2B marketplace,Mumbai,Hindustan Media Ventures,Venture,7400000.0
155,2021-04-03,2021.0,4.0,DealShare,E-commerce,Online shopping platform,"Jaipur, Rajasthan",Innoven Capital,Debt Financing,250000000.0
156,2021-03-31,2021.0,3.0,Uniphore,Technology,Conversational Service Automation (CSA),Palo Alto,Sorenson Capital Partners,Series D,140000000.0
157,2021-03-30,2021.0,3.0,Dunzo,E-commerce,Hyper-local delivery app,Bengaluru,Krishtal Advisors Pte Ltd,Series E,8000000.0
158,2021-03-30,2021.0,3.0,BYJU’S,Edu-tech,Online tutoring,Bengaluru,"MC Global Edtech, B Capital, Baron, others",Series F,460000000.0
159,2021-03-23,2021.0,3.0,SkilloVilla,Edu-tech,Career and job-oriented upskilling.,Bengaluru,"Titan Capital, others",Seed,300000000.0
160,2021-03-25,2021.0,3.0,CityMall,E-commerce,Social ecommerce and online grocery platform,Gurugram,Accel Partners,Series A,11000000.0
161,2021-03-26,2021.0,3.0,DotPe,FinTech,Commerce and payments platform to offline enterprise businesses.,Gurugram,PayU,Series A,27500000.0
162,2021-11-02,2021.0,11.0,Doubtnut,Edu Tech,E-Learning Platform,Gurugram,"SIG Global, Sequoia Capital, WaterBridge Ventures and ON Mauritius",Series B,2500000.0
163,2021-02-22,2021.0,2.0,Zomato,Hospitality,Online Food Delivery Platform,Gurugram,"Tiger Global, Kora",Venture,250000000.0
164,2021-02-19,2021.0,2.0,Fingerlix,Hospitality,Semi-cooked food delivery app,Mumbai,"Rhodium Trust, Accel Partners and Swiggy",Series C,274704520.0
165,2021-02-17,2021.0,2.0,Zolve,FinTech,Global Neobank Venture,Mumbai,Accel Partners and Lightspeed Venture Partners,Seed,15000000.0
166,2021-02-15,2021.0,2.0,KreditBee,Finance,Digital lending platform,Bengaluru,Azim Premji’s PremjiInvest and South Korea’s Mirae Asset Venture,Series C,75000000.0
167,2021-12-02,2021.0,12.0,Pepperfry,E-commerce,Multi-brand furniture brand,Mumbai,InnoVen Capital,Debt Financing,4773958.0
168,2021-12-02,2021.0,12.0,Grofers,E-Commerce,Online supermarket,Gurugram,SoftBank Vision Fund (SVF),Unspecified,55000000.0
169,2021-09-02,2021.0,9.0,Nothing,Technology,Consumer Technology Venture,London,GV,Series A,15000000.0
170,2021-09-02,2021.0,9.0,SplashLearn,EdTech,Game-based learning programme,Gurugram,Owl Ventures,Series C,18000000.0
171,2021-01-15,2021.0,1.0,Digit Insurance,Financial Services,Insurance Services,Bengaluru,"A91 Partners, Faering Capital, TVS Capital Funds",Venture,18000000.0
172,2021-01-28,2021.0,1.0,Bombay Shaving Company,Consumer Goods Company,"Shave care, beard care, and skincare products",Delhi,Reckitt Benckiser,Venture,617225850.0
173,2021-01-19,2021.0,1.0,DeHaat,AgriTech Startup,online marketplace for farm products and services,Patna,Prosus Ventures,Series C,30000000.0
174,2021-01-19,2021.0,1.0,Darwinbox,SaaS,HR Tech,Mumbai,Salesforce Ventures,Seed,15000000.0
175,2021-01-18,2021.0,1.0,mfine,Health Tech Startup,AI-powered telemedicine mobile app,Bengaluru,Heritas Capital Management,Venture Round,16000000.0
176,2021-01-18,2021.0,1.0,Udayy,EdTech,Online learning platform for kids in class 1-5,Gurugram,Sequoia Capital ,Seed Funding,15000000.0
177,2021-11-01,2021.0,11.0,True Elements,Food Startup,Whole Food plant based Nashta,Pune,SIDBI Venture Capital,Series,100000000.0
178,2021-01-13,2021.0,1.0,Saveo,B2B E-commerce,Pharmacies,Bengaluru,"Matrix Partners India, RTP Global, others",Seed,4000000.0
179,2020-12-15,2020.0,12.0,Bira 91,Food and Beverage,Craft Beer ,Delhi,"Nishant Mittal, Pankaj Chaddah and Shikha Sunil Chandak",Funding,127363407.0
180,2020-12-21,2020.0,12.0,Pine Labs,Financial Services,Payment Solutions Provider,Noida,Lone Pine Capital,Secondary Market,0.0
181,2020-12-15,2020.0,12.0,Zenoti,Technology Provider,Cloud-based software provider for the spa and salon industries,Washington,Advent International,Series D,160000000.0
182,2020-12-22,2020.0,12.0,Tax Buddy India,FinTech,Online tax adviser ,Mumbai,Zenith Global,Seed,1000000.0
183,2020-12-15,2020.0,12.0,Delhivery,Supply chain ,Transportation,Gurugram,Steadview Capital ,Secondary Market,25000000.0
184,2020-12-18,2020.0,12.0,PagarBook,SaaS,Employee management platform ,Bengaluru,Sequoia Capital ,Series A,15000000.0
185,2020-11-30,2020.0,11.0,Codingal,EduTech,Online coding platform,Bengaluru,"Rebright Partners, Java Capital, and GSF Accelerator",Seed,560000.0
186,2020-11-30,2020.0,11.0,CRED,Financial Services,Credit Card Behavior Services,Bengaluru,DST Global,Series C,80000000.0
187,2020-11-29,2020.0,11.0,Bira 91,Food and Beverage,Craft Beer ,Delhi,"Sofina, Sequoia Capital, Sixth Sense Ventures, Neoplux",Bridge Funding,3000000.0
188,2020-11-27,2020.0,11.0,Chumbak,Lifestyle,Gifting Startup,Bengaluru,Gaja Capital Fund (GCFII-A),Pre-series E,100104792.0
189,2020-11-25,2020.0,11.0,Cityflo,Transportation,App-based bus commute startup,Mumbai,Lightbox Ventures,Series A,7700000.0
190,2020-11-25,2020.0,11.0,Shipsy,SaaS,Software Automation Of Logistics,Gurugram,"Sequoia Capital India’s Surge, Info Edge",Series A,6003806.0
191,2020-11-25,2020.0,11.0,Unacademy,Edutech,Online Learning Platform,Bengaluru,"Tiger Global Management, Dragoneer Investment Group",Venture ,7.50000001e+16
192,2020-11-24,2020.0,11.0,Cashfree,FinTech,Payments and banking technology,Bengaluru,"Matrix Partners India, SAIF Partners, Ward Ferry Management and Bertelsmann India",Series B,35300000.0
193,2020-11-30,2020.0,11.0,Credgenics,Fintech,Critical NPA reduction for Fintech lenders and banks,Gurugram,"Venture Capital firm, Accel Partners and DMI Finance",Pre-Series A,3500000.0
194,2020-11-23,2020.0,11.0,Country Delight,Dairy Tech,Milk delivery startup,Gurugram,Elevation Capital,Series C,25000000.0
195,2020-10-28,2020.0,10.0,Nykaa,E-commerce,"Beauty, Fashion, Lifestyle, Wellness",Mumbai,Alia Bhatt,Personal Investment,0.0
196,2020-10-28,2020.0,10.0,Betterplace,Digital Solutions,Blue Collar Workforce Management Platform,Bengaluru,Jungle Ventures,Series B,10000000.0
197,2020-10-28,2020.0,10.0,FlexiLoans,FinTech,Digital Lending Platform,Mumbai,Falguni and Sanjay Nayar Family Office,Equity and Debt ,20160000.0
198,2020-10-27,2020.0,10.0,GetVantage,FinTech,Revenue-Based Financing Platform,Mumbai,"Chiratae Ventures, Dream Incubators",Seed,5000000.0
199,2020-10-27,2020.0,10.0,FreshToHome,E-commerce,Food Delivery,Bengaluru,"Corporation of Dubai (ICD), Ascent Capital, DFC, the Allana Group
",Series C,121000000.0
200,2020-10-27,2020.0,10.0,Origo,AgriTech,Agricultural Commodities Management,Gurugram,Northern Arc Capital,Debt ,4700000.0
201,2020-10-27,2020.0,10.0,Origo,Advertising,Online Video Editing,Mumbai,Sequoia Capital India,Series A,15000000.0
203,2020-10-26,2020.0,10.0,Hubilo,Information Technology,Virtual Events Platform,"Wilmington, Delaware, United States",Lightspeed Venture Partners,Seed,4500000.0
204,2020-10-28,2020.0,10.0,CredAble,FinTech,Supply Chain Finance,Mumbai,Oaks Asset Management and V’Ocean Investment,Follow-On,4500000.0
205,2020-10-21,2020.0,10.0,Pocket FM,Information Technology,Audiobook & Podcast App,Bengaluru,"Tencent, Times Group and Lightspeed India",Series A,5500000.0
206,2020-04-08,2020.0,4.0,InVideo,Technology,Video Editor,Bengaluru,Sequoia India,Series A,15000000.0
207,2020-08-09,2020.0,8.0,Byju’s,EduTech,Online Tutoring,Bengaluru,"Silver Lake, Tiger Global, General Atlantic and Owl Ventures
",Private Equity,500000000.0
208,2020-12-09,2020.0,12.0,mCaffeine,Personal Care,Skincare & Haircare,Mumbai,"Amicus Capital Private Equity I LLP, Amicus Capital Partners India Fund I and RP-SG Venture Fund 1",Series B,3000000.0
209,2020-09-09,2020.0,9.0,Qshala,EduTech,Online Curiosity Platform for Kids,Bengaluru,Rainmatter Capital,Angel,370000.0
210,2020-02-09,2020.0,2.0,Winzo,Online Gaming,Online Gaming,Delhi,"Kalaari Capital Partners, IndigoEdge Management Consultancy",Series B,15500000.0
211,2020-09-09,2020.0,9.0,Hippo Video,Video Customer Experience(CX) Platform,Video Customer Experience(CX) Platform,"Newark, Delaware, United States of Amercia","Alpha Wave Incubation, Exfinity Venture Partners and existing backers. 
",Series A,4500000.0
